"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|AT"
"01.01.2022 20:00 - 01.01.2022 20:15","150.00","EUR"
"01.01.2022 20:15 - 01.01.2022 20:30","89.50","EUR"
"01.01.2022 20:30 - 01.01.2022 20:45","83.50","EUR"
"01.01.2022 20:45 - 01.01.2022 21:00","65.01","EUR"
"01.01.2022 21:00 - 01.01.2022 21:15","118.85","EUR"
"01.01.2022 21:15 - 01.01.2022 21:30","85.20","EUR"
"01.01.2022 21:30 - 01.01.2022 21:45","75.26","EUR"
"01.01.2022 21:45 - 01.01.2022 22:00","76.68","EUR"
"01.01.2022 22:00 - 01.01.2022 22:15","89.14","EUR"
"01.01.2022 22:15 - 01.01.2022 22:30","101.15","EUR"
"01.01.2022 22:30 - 01.01.2022 22:45","83.01","EUR"
"01.01.2022 22:45 - 01.01.2022 23:00","65.58","EUR"
"01.01.2022 23:00 - 01.01.2022 23:15","139.91","EUR"
"01.01.2022 23:15 - 01.01.2022 23:30","71.79","EUR"
"01.01.2022 23:30 - 01.01.2022 23:45","59.51","EUR"
"01.01.2022 23:45 - 02.01.2022 00:00","58.11","EUR"
"02.01.2022 00:00 - 02.01.2022 00:15","156.55","EUR"
"02.01.2022 00:15 - 02.01.2022 00:30","119.91","EUR"
"02.01.2022 00:30 - 02.01.2022 00:45","42.36","EUR"
"02.01.2022 00:45 - 02.01.2022 01:00","35.23","EUR"
"02.01.2022 01:00 - 02.01.2022 01:15","139.98","EUR"
"02.01.2022 01:15 - 02.01.2022 01:30","99.91","EUR"
"02.01.2022 01:30 - 02.01.2022 01:45","24.38","EUR"
"02.01.2022 01:45 - 02.01.2022 02:00","19.72","EUR"
"02.01.2022 02:00 - 02.01.2022 02:15","129.91","EUR"
"02.01.2022 02:15 - 02.01.2022 02:30","60.55","EUR"
"02.01.2022 02:30 - 02.01.2022 02:45","14.44","EUR"
"02.01.2022 02:45 - 02.01.2022 03:00","12.31","EUR"
"02.01.2022 03:00 - 02.01.2022 03:15","67.95","EUR"
"02.01.2022 03:15 - 02.01.2022 03:30","49.91","EUR"
"02.01.2022 03:30 - 02.01.2022 03:45","33.65","EUR"
"02.01.2022 03:45 - 02.01.2022 04:00","8.50","EUR"
"02.01.2022 04:00 - 02.01.2022 04:15","40.95","EUR"
"02.01.2022 04:15 - 02.01.2022 04:30","26.16","EUR"
"02.01.2022 04:30 - 02.01.2022 04:45","42.94","EUR"
"02.01.2022 04:45 - 02.01.2022 05:00","49.95","EUR"
"02.01.2022 05:00 - 02.01.2022 05:15","35.92","EUR"
"02.01.2022 05:15 - 02.01.2022 05:30","37.95","EUR"
"02.01.2022 05:30 - 02.01.2022 05:45","37.97","EUR"
"02.01.2022 05:45 - 02.01.2022 06:00","79.92","EUR"
"02.01.2022 06:00 - 02.01.2022 06:15","25.26","EUR"
"02.01.2022 06:15 - 02.01.2022 06:30","38.25","EUR"
"02.01.2022 06:30 - 02.01.2022 06:45","99.90","EUR"
"02.01.2022 06:45 - 02.01.2022 07:00","129.95","EUR"
"02.01.2022 07:00 - 02.01.2022 07:15","27.94","EUR"
"02.01.2022 07:15 - 02.01.2022 07:30","44.38","EUR"
"02.01.2022 07:30 - 02.01.2022 07:45","103.03","EUR"
"02.01.2022 07:45 - 02.01.2022 08:00","157.95","EUR"
"02.01.2022 08:00 - 02.01.2022 08:15","43.00","EUR"
"02.01.2022 08:15 - 02.01.2022 08:30","51.57","EUR"
"02.01.2022 08:30 - 02.01.2022 08:45","116.52","EUR"
"02.01.2022 08:45 - 02.01.2022 09:00","172.91","EUR"
"02.01.2022 09:00 - 02.01.2022 09:15","66.58","EUR"
"02.01.2022 09:15 - 02.01.2022 09:30","71.54","EUR"
"02.01.2022 09:30 - 02.01.2022 09:45","111.00","EUR"
"02.01.2022 09:45 - 02.01.2022 10:00","146.06","EUR"
"02.01.2022 10:00 - 02.01.2022 10:15","133.00","EUR"
"02.01.2022 10:15 - 02.01.2022 10:30","129.91","EUR"
"02.01.2022 10:30 - 02.01.2022 10:45","119.91","EUR"
"02.01.2022 10:45 - 02.01.2022 11:00","119.93","EUR"
"02.01.2022 11:00 - 02.01.2022 11:15","149.94","EUR"
